LINE_ID,NAME,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,NUM_LINES
l_836,Moorabool Terminal to Mortlake,619,862,9.840258042178485e-06,0.024623176282840584,0.00303628793228392,1
l_837,Heywood Terminal to Portland Aluminium,40,41,2.153034980248841e-06,0.0053875172413723384,0.0006643356404165453,1
l_838,Heywood Terminal to Portland Aluminium,40,41,2.153981937683089e-06,0.0053898868032004835,0.0006646278314767462,1
l_839,Heywood Terminal to South East,40,657,2.0199263930922793e-05,0.046458809124788246,0.0006204800549808973,2
l_841,Keilor Terminal to West Melbourne Terminal,144,142,4.213373059861836e-06,0.009390591249482617,5.4708102315594506e-05,2
l_843,Keilor Terminal to Altona Terminal,142,145,5.102710165185457e-06,0.011372708930599145,6.625560704870131e-05,1
l_844,Keilor Terminal to Brooklyn Terminal,142,146,5.224963292298276e-06,0.011645181633437657,6.784299000564955e-05,1
l_845,Brooklyn Terminal to Altona Terminal,145,146,2.520696633851753e-06,0.005618024185407586,3.2729722099627805e-05,1
l_846,Newport Power Station to Brooklyn Terminal,146,147,1.7314264874878024e-06,0.003858931595071846,2.248152634092155e-05,1
l_847,Newport Power Station to Fishermans Bend Terminal,147,139,1.5346193351962406e-06,0.00342029597086122,1.9926104432859935e-05,1
l_848,Brooklyn Terminal to Fishermans Bend Terminal,146,139,2.866606571908245e-06,0.006388973918856749,3.722115355236417e-05,1
l_849,Fishermans Bend Terminal to West Melbourne Terminal,139,144,9.944686865695935e-07,0.0022164305921420417,1.2912574766471843e-05,2
l_851,Laverton North to Altona Terminal,145,742,1.0746977526065136e-07,0.00023952418093726308,1.3954300692724466e-06,2
l_853,Thomastown Terminal to Brunswick Terminal,194,140,3.5389958702917423e-06,0.007887567319426145,4.59517221512628e-05,1
l_854,Thomastown Terminal to Brunswick Terminal,194,140,3.5134373114366315e-06,0.007830603462743094,4.561985971396645e-05,1
l_855,Cranbourne Terminal to Tyabb Terminal,494,493,7.640451418159643e-06,0.017028721456680065,9.920664322463619e-05,2
l_857,Tyabb Terminal to Western Port,494,496,6.395812015934147e-07,0.001425472074199299,8.304575293660516e-06,2
l_859,Cranbourne Terminal to East Rowville Terminal,493,196,6.860295263861362e-06,0.015289941754124202,8.907678714374818e-05,2
l_861,Rowville Terminal Station to East Rowville Terminal Station,196,191,6.789347478996438e-07,0.001513181627170025,8.815557304323786e-06,2
l_863,Heatherton Terminal to Springvale Terminal,197,200,2.8029209177292956e-06,0.006247033972321366,3.639423382905542e-05,2
l_865,Springvale Terminal to Rowville Terminal,191,200,2.618512870698451e-06,0.00583603296002581,3.3999806807890276e-05,1
l_866,Springvale Terminal to Rowville Terminal,191,200,2.6072034130948183e-06,0.005810826909647602,3.3852960337159364e-05,1
l_867,Rowville Terminal Station to Malvern Terminal Station,191,543,5.121335313354689e-06,0.0114142198889058,6.649744333929527e-05,1
l_868,Rowville Terminal Station to Malvern Terminal Station,191,543,5.12205584015258e-06,0.011415825769170176,6.650679894422748e-05,1
l_869,Rowville Terminal Station to Richmond Terminal Station,191,800,8.784155528191321e-06,0.019577761775462794,0.00011405694975610453,2
l_871,Richmond Terminal to Brunswick Terminal,140,800,2.867731078555899e-06,0.006391480172667038,3.7235754591451e-05,1
l_878,Bogong Power Station to Bogong Tee,736,737,8.219224441444573e-08,0.00018318666783304974,1.0672166107981187e-06,1
l_879,McKay Creek Power Station to Bogong Tee,737,740,2.091483384189975e-06,0.004661411483619423,2.715664750022944e-05,1
l_880,Eildon Power Station to Mount Beauty Terminal,198,735,4.784442339431467e-05,0.10663366791402175,0.0006212309171532562,1
l_881,Eildon Power Station to Mount Beauty Terminal,198,735,4.783842895602061e-05,0.10662030775839586,0.000621153082995479,1
l_882,Dederang Terminal to Glenrowan Terminal,683,682,2.8182529272444776e-05,0.0628120531968242,0.0003659331070483715,2
l_884,Glenrowan Terminal to Shepparton Terminal,683,213,2.448192610868462e-05,0.05456430223964849,0.000317883011878531,2
l_886,Bendigo Terminal to Fosterville Tee,679,75,8.297207654393055e-06,0.018492472536253083,0.00010773422596126681,1
l_887,Fosterville Terminal to Fosterville Tee,75,76,3.073168115034124e-08,6.849349725081019e-05,3.9903230329151717e-07,1
l_888,Waubra Terminal to Ballarat Terminal,303,302,1.3350952130001014e-05,0.029756048767340827,0.00017335404312920043,1
l_890,Loy Yang B Power Station to Loy Yang Power Station,275,774,8.875126949586272e-08,0.00022208138696723837,2.7384892488602706e-05,1
l_891,Yallourn Power Station to Yallourn,276,273,2.617479841688975e-07,0.0005833730587784135,3.3986393550639502e-06,1
l_892,Yallourn Power Station to Yallourn,273,276,3.461808389556794e-07,0.0007715535061455855,4.4949489371602645e-06,1
l_893,Yallourn Power Station to Hazelwood Power Station,274,273,5.050234344362394e-06,0.011255752996047594,6.557424023548658e-05,2
l_895,Morwell Terminal to Morwell Tee,277,776,2.2263851881443137e-07,0.0004962075033168623,2.89082658801918e-06,1
l_896,Morwell Power Station to Morwell Tee,278,277,5.206108822442459e-08,0.00011603159572460346,6.759817611157387e-07,1
l_897,Jeeralang A Power Station to Jeeralang Terminal,279,271,8.516396613155899e-08,0.00018980991803096512,1.1058026209717912e-06,1
l_898,Jeeralang B Power Station to Jeeralang Terminal,280,271,8.969969617283252e-08,0.00019991896516029654,1.164696333835196e-06,1
l_899,Jeeralang Terminal to Morwell Terminal,610,271,9.307280507218829e-07,0.002074368104742078,1.2084941139429108e-05,1
l_900,Jeeralang Terminal to Morwell Terminal,610,271,8.741095216705803e-07,0.0019481790737890072,1.1349783764022456e-05,1
